City,Rain Type,2024-11-13_13-48,2024-11-13_13-49,2024-11-13_13-49_new,2024-11-13_13-50
Afyonkarahisar,Heavy Rain,684,684,639,639
Afyonkarahisar,Light Rain,2579,2579,2579,2579
Afyonkarahisar,Moderate Rain,1077,1077,1053,1053
Ankara,Heavy Rain,0,0,0,0
Ankara,Light Rain,0,0,0,0
Ankara,Moderate Rain,833,833,845,845
Antalya,Heavy Rain,0,0,0,0
Antalya,Light Rain,1646,1646,1661,1661
Antalya,Moderate Rain,0,0,0,0
Balikesir,Heavy Rain,617,617,613,613
Balikesir,Light Rain,7538,7538,7653,7653
Balikesir,Moderate Rain,769,769,762,762
Bursa,Heavy Rain,190,190,205,205
Bursa,Light Rain,3796,3796,3734,3734
Bursa,Moderate Rain,1042,1042,1070,1070
Erzurum,Heavy Rain,715,715,679,679
Erzurum,Light Rain,0,0,0,0
Erzurum,Moderate Rain,2508,2508,2504,2504
Gaziantep,Heavy Rain,0,0,0,0
Gaziantep,Light Rain,0,0,0,0
Gaziantep,Moderate Rain,836,836,836,836
Hatay,Heavy Rain,0,0,0,0
Hatay,Light Rain,0,0,0,0
Hatay,Moderate Rain,516,516,491,491
Istanbul,Heavy Rain,0,0,0,0
Istanbul,Light Rain,9296,9296,9186,9186
Istanbul,Moderate Rain,244,244,295,295
Izmir,Heavy Rain,185,185,156,156
Izmir,Light Rain,8037,8037,7897,7897
Izmir,Moderate Rain,220,220,194,194
Karaman,Heavy Rain,0,0,0,0
Karaman,Light Rain,0,0,0,0
Karaman,Moderate Rain,188,188,184,184
Kilis,Heavy Rain,0,0,0,0
Kilis,Light Rain,0,0,0,0
Kilis,Moderate Rain,0,0,0,0
Mugla,Heavy Rain,0,0,0,0
Mugla,Light Rain,4499,4499,4486,4486
Mugla,Moderate Rain,0,0,0,0
Samsun,Heavy Rain,0,0,0,0
Samsun,Light Rain,0,0,0,0
Samsun,Moderate Rain,0,0,0,0
Sanliurfa,Heavy Rain,0,0,0,0
Sanliurfa,Light Rain,0,0,0,0
Sanliurfa,Moderate Rain,1782,1782,1806,1806
Sivas,Heavy Rain,0,0,0,0
Sivas,Light Rain,0,0,0,0
Sivas,Moderate Rain,812,812,812,816
Trabzon,Heavy Rain,0,0,0,0
Trabzon,Light Rain,0,0,0,0
Trabzon,Moderate Rain,0,0,0,0
Zonguldak,Heavy Rain,0,0,0,0
Zonguldak,Light Rain,1418,1418,1418,1433
Zonguldak,Moderate Rain,0,0,0,0
